cellID,ArrayNum,ObjNum
1,1,1
2,2,1
3,2,2
4,3,1
5,3,2
6,3,3
7,4,1
8,4,2
9,5,1
10,7,1
11,8,1
12,8,2
13,9,1
14,9,2
15,9,3
16,10,1
17,11,1
18,11,2
19,11,3
20,11,4
21,11,5
22,12,1
23,12,2
24,12,3
25,13,1
26,13,2
27,14,1
28,16,1
29,17,1
30,17,2
31,18,1
32,20,1
33,20,2
34,22,1
35,23,1
36,23,2
37,24,1
38,25,1
39,27,1
40,27,2
41,28,1
42,28,2
43,29,1
44,29,2
45,30,1
46,30,2
47,31,1
48,31,2
49,31,3
50,32,1
51,32,2
52,33,1
