objArrayNum,objNum,isGood,AllelicExpression,area,alexa.RNACounts
1,1,true,biallelic,114584,1334
2,1,true,biallelic,108029,249
2,2,true,monoallelic,90654,96
2,3,true,monoallelic,96086,98
3,1,true,biallelic,62707,55
4,1,true,monoallelic,111653,66
5,1,true,Low H19,65769,8
6,1,true,biallelic,107949,735
6,2,true,biallelic,92533,1533
7,1,true,biallelic,64601,567
7,2,true,biallelic,116451,107
8,1,true,biallelic,144086,1602
8,2,true,Low H19,102612,90
9,1,true,biallelic,183657,80
9,2,true,biallelic,79743,1138
9,3,true,monoallelic,48473,395
11,1,true,biallelic,98951,1041
11,2,true,monoallelic,78895,467
11,3,true,UNDEF,98968,49
11,4,true,biallelic,39735,271
12,1,true,biallelic,116951,150
13,1,true,biallelic,52631,433
13,2,true,biallelic,27326,19
13,3,true,Low H19,47333,16
15,1,true,biallelic,40147,25
15,2,true,biallelic,71420,318
15,3,true,biallelic,64426,307
15,4,true,biallelic,18584,83
15,5,true,UNDEF,13938,139
15,6,true,biallelic,31121,243
16,1,true,IGF2+,112740,2122
16,2,true,monoallelic,223222,1491
17,1,true,biallelic,125099,1981
17,2,true,biallelic,100866,30
17,3,true,biallelic,63433,1070
18,1,true,biallelic,155478,622
18,2,true,biallelic,28105,78
18,3,true,biallelic,52257,65
18,4,true,biallelic,43660,61
19,1,true,biallelic,89561,868
20,1,true,monoallelic,158621,770
20,2,true,biallelic,180521,1151
21,1,true,biallelic,92472,587
22,1,true,monoallelic,57822,460
22,2,true,biallelic,56252,368
23,1,true,biallelic,119155,94
23,2,true,biallelic,143302,17
27,1,true,biallelic,80874,367
28,1,true,biallelic,74907,98
28,2,true,monoallelic,83897,46
29,1,true,biallelic,62242,437
32,1,true,monoallelic,382889,1255
