objArrayNum,objNum,isGood,AllelicExpression,area,alexa.RNACounts
1,1,true,monoallelic,62968,267
1,2,true,biallelic,36478,112
1,3,true,biallelic,71387,797
1,4,true,biallelic,47256,1047
1,5,true,biallelic,38339,1045
2,1,true,biallelic,114002,1500
2,2,true,monoallelic,73284,209
2,3,true,biallelic,81598,608
3,1,true,biallelic,98411,1017
3,2,true,biallelic,79882,1110
3,3,true,biallelic,98093,498
4,1,true,IGF2+,75744,603
4,2,true,biallelic,60416,466
4,3,true,biallelic,67418,409
5,1,true,biallelic,49912,711
5,2,true,monoallelic,70013,499
5,3,true,biallelic,58671,197
6,1,true,biallelic,88130,881
6,2,true,Low H19,86499,112
6,3,true,biallelic,89125,1052
7,1,true,monoallelic,39935,492
7,2,true,biallelic,111415,2490
8,1,true,biallelic,161893,812
8,2,true,biallelic,298194,682
9,1,true,monoallelic,41082,121
9,2,true,biallelic,76723,918
10,1,true,biallelic,46133,95
11,1,true,biallelic,34819,388
11,2,true,biallelic,67509,640
12,1,true,biallelic,31497,357
14,1,true,biallelic,23255,347
15,1,true,monoallelic,38817,469
15,2,true,monoallelic,25883,434
15,3,true,biallelic,118583,1320
16,1,true,IGF2+,50534,546
17,1,true,biallelic,52486,425
18,1,true,biallelic,104649,1358
18,2,true,biallelic,28548,613
20,1,true,biallelic,90056,1331
22,1,true,biallelic,58727,541
22,2,true,biallelic,96274,1346
23,1,true,biallelic,66292,1282
24,1,true,biallelic,21450,343
24,2,true,biallelic,32517,523
25,1,true,biallelic,58695,471
25,2,true,biallelic,68753,866
26,1,true,biallelic,40160,597
26,2,true,biallelic,64430,185
26,3,true,biallelic,40708,389
27,1,true,monoallelic,51987,194
27,2,true,biallelic,71347,524
28,1,true,monoallelic,85348,411
29,1,true,biallelic,56718,950
30,1,true,IGF2+,77207,489
31,1,true,biallelic,14710,164
31,2,true,monoallelic,52899,566
31,3,true,biallelic,21805,194
31,4,true,biallelic,45612,328
32,1,true,biallelic,70359,370
33,1,true,biallelic,38904,635
33,2,true,biallelic,49025,448
34,1,true,biallelic,84182,631
34,2,true,biallelic,47057,369
35,1,true,biallelic,94245,318
35,2,true,biallelic,57124,164
36,1,true,IGF2+,74965,969
37,1,true,biallelic,62911,755
37,2,true,biallelic,72799,678
38,1,true,biallelic,112280,774
39,1,true,biallelic,104361,960
40,1,true,biallelic,73971,483
41,1,true,IGF2+,51140,404
42,1,true,biallelic,116958,874
43,1,true,biallelic,559130,2482
44,1,true,IGF2+,60099,751
45,1,true,Low H19,55481,26
45,2,true,biallelic,51619,191
46,1,true,monoallelic,109456,698
46,2,true,biallelic,76183,393
